Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,CAGR
"ROE","3.36    %","3.34    %","5.89    %","11.79    %","12.84    %","17.12    %","20.19    %","-     %","-"
"YoY %","0.60%","-43.29%","-50.04%","-8.18%","-25.00%","-15.21%","0.00%","-",""
"Horiz. %","16.64%","16.54%","29.17%","58.40%","63.60%","84.79%","100.00%","-",""
"RPS","26.57","25.32","29.69","96.56","111.99","96.54","92.45","-","-"
"YoY %","4.94%","-14.72%","-69.25%","-13.78%","16.00%","4.42%","0.00%","-",""
"Horiz. %","28.74%","27.39%","32.11%","104.45%","121.14%","104.42%","100.00%","-",""
"EPS","3.32","3.24","4.84","19.46","19.13","22.94","23.22","0.00","-"
"YoY %","2.47%","-33.06%","-75.13%","1.73%","-16.61%","-1.21%","0.00%","-",""
"Horiz. %","14.30%","13.95%","20.84%","83.81%","82.39%","98.79%","100.00%","-",""
"DPS","0.33","0.25","0.25","0.00","0.00","4.50","4.00","0.00","-"
"YoY %","32.00%","0.00%","0.00%","0.00%","0.00%","12.50%","0.00%","-",""
"Horiz. %","8.25%","6.25%","6.25%","0.00%","0.00%","112.50%","100.00%","-",""
"NAPS","0.9700","0.9700","0.9200","1.6500","1.4900","1.3400","1.1500","0.7800","3.35%"
"YoY %","0.00%","5.43%","-44.24%","10.74%","11.19%","16.52%","47.44%","-",""
"Horiz. %","124.36%","124.36%","117.95%","211.54%","191.03%","171.79%","147.44%","100.00%",""
"RPS","26.55","25.31","29.68","28.32","29.76","25.34","21.11","-","-"
"YoY %","4.90%","-14.72%","4.80%","-4.84%","17.44%","20.04%","0.00%","-",""
"Horiz. %","125.77%","119.90%","140.60%","134.15%","140.98%","120.04%","100.00%","-",""
"EPS","3.26","3.24","5.42","5.71","5.08","6.02","5.30","0.00","-"
"YoY %","0.62%","-40.22%","-5.08%","12.40%","-15.61%","13.58%","0.00%","-",""
"Horiz. %","61.51%","61.13%","102.26%","107.74%","95.85%","113.58%","100.00%","-",""
"DPS","0.33","0.25","0.25","0.00","0.00","1.18","0.91","0.00","-"
"YoY %","32.00%","0.00%","0.00%","0.00%","0.00%","29.67%","0.00%","-",""
"Horiz. %","36.26%","27.47%","27.47%","0.00%","0.00%","129.67%","100.00%","-",""
"NAPS","0.9695","0.9695","0.9198","0.4839","0.3959","0.3517","0.2626","0.7800","3.35%"
"YoY %","0.00%","5.40%","90.08%","22.23%","12.57%","33.93%","-66.33%","-",""
"Horiz. %","124.29%","124.29%","117.92%","62.04%","50.76%","45.09%","33.67%","100.00%",""
"Date","AQR","T4Q","29/06/18","30/06/17","30/06/16","30/06/15","30/06/14","-","-"
"Price","0.3000","0.3000","0.3850","1.6300","1.4400","1.9900","2.4400","0.0000","-"
"P/RPS","1.13","1.18","1.30","1.69","1.29","2.06","2.64","0.00","-"
"YoY %","-4.24%","-9.23%","-23.08%","31.01%","-37.38%","-21.97%","0.00%","-",""
"Horiz. %","42.80%","44.70%","49.24%","64.02%","48.86%","78.03%","100.00%","-",""
"P/EPS","9.19","9.26","7.10","8.38","7.53","8.68","10.51","0.00","-"
"YoY %","-0.76%","30.42%","-15.27%","11.29%","-13.25%","-17.41%","0.00%","-",""
"Horiz. %","87.44%","88.11%","67.55%","79.73%","71.65%","82.59%","100.00%","-",""
"EY","10.88","10.80","14.09","11.94","13.28","11.53","9.52","0.00","-"
"YoY %","0.74%","-23.35%","18.01%","-10.09%","15.18%","21.11%","0.00%","-",""
"Horiz. %","114.29%","113.45%","148.00%","125.42%","139.50%","121.11%","100.00%","-",""
"DY","1.11","0.83","0.65","0.00","0.00","2.26","1.64","0.00","-"
"YoY %","33.73%","27.69%","0.00%","0.00%","0.00%","37.80%","0.00%","-",""
"Horiz. %","67.68%","50.61%","39.63%","0.00%","0.00%","137.80%","100.00%","-",""
"P/NAPS","0.31","0.31","0.42","0.99","0.97","1.49","2.12","0.00","-"
"YoY %","0.00%","-26.19%","-57.58%","2.06%","-34.90%","-29.72%","0.00%","-",""
"Horiz. %","14.62%","14.62%","19.81%","46.70%","45.75%","70.28%","100.00%","-",""
"Date","AQR","T4Q","30/08/18","30/08/17","25/08/16","27/08/15","27/08/14","-","-"
"Price","0.2900","0.2900","0.3450","1.5000","1.6000","1.8100","2.5600","0.0000","-"
"P/RPS","1.09","1.15","1.16","1.55","1.43","1.87","2.77","0.00","-"
"YoY %","-5.22%","-0.86%","-25.16%","8.39%","-23.53%","-32.49%","0.00%","-",""
"Horiz. %","39.35%","41.52%","41.88%","55.96%","51.62%","67.51%","100.00%","-",""
"P/EPS","8.89","8.95","6.36","7.71","8.36","7.89","11.02","0.00","-"
"YoY %","-0.67%","40.72%","-17.51%","-7.78%","5.96%","-28.40%","0.00%","-",""
"Horiz. %","80.67%","81.22%","57.71%","69.96%","75.86%","71.60%","100.00%","-",""
"EY","11.25","11.17","15.72","12.97","11.96","12.67","9.07","0.00","-"
"YoY %","0.72%","-28.94%","21.20%","8.44%","-5.60%","39.69%","0.00%","-",""
"Horiz. %","124.04%","123.15%","173.32%","143.00%","131.86%","139.69%","100.00%","-",""
"DY","1.15","0.86","0.72","0.00","0.00","2.49","1.56","0.00","-"
"YoY %","33.72%","19.44%","0.00%","0.00%","0.00%","59.62%","0.00%","-",""
"Horiz. %","73.72%","55.13%","46.15%","0.00%","0.00%","159.62%","100.00%","-",""
"P/NAPS","0.30","0.30","0.38","0.91","1.07","1.35","2.23","0.00","-"
"YoY %","0.00%","-21.05%","-58.24%","-14.95%","-20.74%","-39.46%","0.00%","-",""
"Horiz. %","13.45%","13.45%","17.04%","40.81%","47.98%","60.54%","100.00%","-",""

