Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.35","0.35","0.35","1.33","1.81","0.72","2.93","2.66","0.00","-"
"YoY %","0.00%","0.00%","-73.68%","-26.52%","151.39%","-75.43%","10.15%","0.00%","-",""
"Horiz. %","13.16%","13.16%","13.16%","50.00%","68.05%","27.07%","110.15%","100.00%","-",""
"Date","AQR","T4Q","27/02/19","28/02/18","28/02/17","29/02/16","26/02/15","20/02/14","-","-"
"Price","0.0450","0.0450","0.0450","0.1300","0.2450","0.1100","0.3650","0.4500","0.0000","-"
"P/RPS","0.68","0.68","0.68","1.35","2.84","0.91","2.49","3.16","0.00","-"
"YoY %","0.00%","0.00%","-49.63%","-52.46%","212.09%","-63.45%","-21.20%","0.00%","-",""
"Horiz. %","21.52%","21.52%","21.52%","42.72%","89.87%","28.80%","78.80%","100.00%","-",""
"P/EPS","-23.40","-23.40","-23.40","13.72","35.70","6.18","23.70","31.91","0.00","-"
"YoY %","0.00%","0.00%","-270.55%","-61.57%","477.67%","-73.92%","-25.73%","0.00%","-",""
"Horiz. %","-73.33%","-73.33%","-73.33%","43.00%","111.88%","19.37%","74.27%","100.00%","-",""
"EY","-4.27","-4.27","-4.27","7.29","2.80","16.18","4.22","3.13","0.00","-"
"YoY %","0.00%","0.00%","-158.57%","160.36%","-82.69%","283.41%","34.82%","0.00%","-",""
"Horiz. %","-136.42%","-136.42%","-136.42%","232.91%","89.46%","516.93%","134.82%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.32","0.32","0.32","0.85","1.61","0.69","2.81","3.33","0.00","-"
"YoY %","0.00%","0.00%","-62.35%","-47.20%","133.33%","-75.44%","-15.62%","0.00%","-",""
"Horiz. %","9.61%","9.61%","9.61%","25.53%","48.35%","20.72%","84.38%","100.00%","-",""

