Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,30/09/14,30/09/13,30/09/12,30/09/11,CAGR
"EPS","2.98","2.36","5.02","7.73","6.83","6.98","6.62","12.06","12.67","0.00","-"
"YoY %","26.27%","-52.99%","-35.06%","13.18%","-2.15%","5.44%","-45.11%","-4.81%","0.00%","-",""
"Horiz. %","23.52%","18.63%","39.62%","61.01%","53.91%","55.09%","52.25%","95.19%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","2.00","2.00","2.00","1.00","1.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","200.00%","200.00%","200.00%","100.00%","100.00%","-",""
"NAPS","0.9700","0.9700","0.9600","0.9000","0.8200","0.7800","0.7400","0.5600","0.5000","0.0000","-"
"YoY %","0.00%","1.04%","6.67%","9.76%","5.13%","5.41%","32.14%","12.00%","0.00%","-",""
"Horiz. %","194.00%","194.00%","192.00%","180.00%","164.00%","156.00%","148.00%","112.00%","100.00%","-",""
"RPS","60.52","53.25","51.65","49.43","39.53","38.72","38.51","36.58","31.61","-","-"
"YoY %","13.65%","3.10%","4.49%","25.04%","2.09%","0.55%","5.28%","15.72%","0.00%","-",""
"Horiz. %","191.46%","168.46%","163.40%","156.37%","125.06%","122.49%","121.83%","115.72%","100.00%","-",""
"EPS","2.94","2.32","4.95","6.70","5.84","5.66","5.14","9.35","8.43","0.00","-"
"YoY %","26.72%","-53.13%","-26.12%","14.73%","3.18%","10.12%","-45.03%","10.91%","0.00%","-",""
"Horiz. %","34.88%","27.52%","58.72%","79.48%","69.28%","67.14%","60.97%","110.91%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","1.71","1.62","1.55","0.78","0.67","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","5.56%","4.52%","98.72%","16.42%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","255.22%","241.79%","231.34%","116.42%","100.00%","-",""
"NAPS","0.9536","0.9536","0.9441","0.7802","0.7011","0.6329","0.5742","0.4342","0.3328","0.0000","-"
"YoY %","0.00%","1.01%","21.01%","11.28%","10.78%","10.22%","32.24%","30.47%","0.00%","-",""
"Horiz. %","286.54%","286.54%","283.68%","234.44%","210.67%","190.17%","172.54%","130.47%","100.00%","-",""
"Date","AQR","T4Q","28/09/18","29/09/17","30/09/16","30/09/15","30/09/14","30/09/13","28/09/12","-","-"
"Price","0.4000","0.4000","0.5150","0.8000","0.8100","0.9550","1.5300","0.6250","0.7500","0.0000","-"
"P/RPS","0.65","0.74","0.98","1.40","1.75","2.00","3.08","1.32","1.58","0.00","-"
"YoY %","-12.16%","-24.49%","-30.00%","-20.00%","-12.50%","-35.06%","133.33%","-16.46%","0.00%","-",""
"Horiz. %","41.14%","46.84%","62.03%","88.61%","110.76%","126.58%","194.94%","83.54%","100.00%","-",""
"P/EPS","13.39","16.95","10.24","10.35","11.86","13.68","23.11","5.18","5.92","0.00","-"
"YoY %","-21.00%","65.53%","-1.06%","-12.73%","-13.30%","-40.80%","346.14%","-12.50%","0.00%","-",""
"Horiz. %","226.18%","286.32%","172.97%","174.83%","200.34%","231.08%","390.37%","87.50%","100.00%","-",""
"EY","7.47","5.90","9.77","9.66","8.43","7.31","4.33","19.30","16.89","0.00","-"
"YoY %","26.61%","-39.61%","1.14%","14.59%","15.32%","68.82%","-77.56%","14.27%","0.00%","-",""
"Horiz. %","44.23%","34.93%","57.84%","57.19%","49.91%","43.28%","25.64%","114.27%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","2.47","2.09","1.31","1.60","1.33","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","18.18%","59.54%","-18.13%","20.30%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","185.71%","157.14%","98.50%","120.30%","100.00%","-",""
"P/NAPS","0.41","0.41","0.54","0.89","0.99","1.22","2.07","1.12","1.50","0.00","-"
"YoY %","0.00%","-24.07%","-39.33%","-10.10%","-18.85%","-41.06%","84.82%","-25.33%","0.00%","-",""
"Horiz. %","27.33%","27.33%","36.00%","59.33%","66.00%","81.33%","138.00%","74.67%","100.00%","-",""
"Date","AQR","T4Q","30/11/18","24/11/17","29/11/16","27/11/15","28/11/14","29/11/13","29/11/12","-","-"
"Price","0.3100","0.3100","0.4000","0.7150","0.8000","0.9000","1.3900","0.6300","0.7000","0.0000","-"
"P/RPS","0.50","0.57","0.76","1.25","1.73","1.89","2.80","1.34","1.47","0.00","-"
"YoY %","-12.28%","-25.00%","-39.20%","-27.75%","-8.47%","-32.50%","108.96%","-8.84%","0.00%","-",""
"Horiz. %","34.01%","38.78%","51.70%","85.03%","117.69%","128.57%","190.48%","91.16%","100.00%","-",""
"P/EPS","10.38","13.13","7.95","9.25","11.71","12.89","21.00","5.22","5.52","0.00","-"
"YoY %","-20.94%","65.16%","-14.05%","-21.01%","-9.15%","-38.62%","302.30%","-5.43%","0.00%","-",""
"Horiz. %","188.04%","237.86%","144.02%","167.57%","212.14%","233.51%","380.43%","94.57%","100.00%","-",""
"EY","9.64","7.61","12.58","10.81","8.54","7.76","4.76","19.14","18.10","0.00","-"
"YoY %","26.68%","-39.51%","16.37%","26.58%","10.05%","63.03%","-75.13%","5.75%","0.00%","-",""
"Horiz. %","53.26%","42.04%","69.50%","59.72%","47.18%","42.87%","26.30%","105.75%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","2.50","2.22","1.44","1.59","1.43","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","12.61%","54.17%","-9.43%","11.19%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","174.83%","155.24%","100.70%","111.19%","100.00%","-",""
"P/NAPS","0.32","0.32","0.42","0.79","0.98","1.15","1.88","1.13","1.40","0.00","-"
"YoY %","0.00%","-23.81%","-46.84%","-19.39%","-14.78%","-38.83%","66.37%","-19.29%","0.00%","-",""
"Horiz. %","22.86%","22.86%","30.00%","56.43%","70.00%","82.14%","134.29%","80.71%","100.00%","-",""

