Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"Horiz. %","500.60%","500.60%","479.30%","319.53%","575.16%","575.16%","474.76%","100.00%",""
"NOSH","504,000","504,000","504,000","504,000","504,000","504,000","416,022","100,679","37.98%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","21.15%","313.22%","-",""
"Horiz. %","500.60%","500.60%","500.60%","500.60%","500.60%","500.60%","413.22%","100.00%",""
"NP Margin","13.74    %","15.69    %","17.72    %","-33.01    %","1.48    %","2.15    %","9.14    %","46.98    %","-17.71%"
"YoY %","-12.43%","-11.46%","153.68%","-2,330.41%","-31.16%","-76.48%","-80.54%","-",""
"Horiz. %","29.25%","33.40%","37.72%","-70.26%","3.15%","4.58%","19.46%","100.00%",""
"ROE","15.42    %","27.93    %","32.73    %","-80.12    %","3.23    %","4.24    %","6.34    %","120.25    %","-22.90%"
"YoY %","-44.79%","-14.67%","140.85%","-2,580.50%","-23.82%","-33.12%","-94.73%","-",""
"Horiz. %","12.82%","23.23%","27.22%","-66.63%","2.69%","3.53%","5.27%","100.00%",""
"RPS","52.74","83.66","83.13","72.81","117.39","106.45","37.42","120.30","-7.12%"
"YoY %","-36.96%","0.64%","14.17%","-37.98%","10.28%","184.47%","-68.89%","-",""
"Horiz. %","43.84%","69.54%","69.10%","60.52%","97.58%","88.49%","31.11%","100.00%",""
"EPS","7.24","13.13","14.73","-24.04","1.74","2.29","3.59","19.79","-5.73%"
"YoY %","-44.86%","-10.86%","161.27%","-1,481.61%","-24.02%","-36.21%","-81.86%","-",""
"Horiz. %","36.58%","66.35%","74.43%","-121.48%","8.79%","11.57%","18.14%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.4700","0.4700","0.4500","0.3000","0.5400","0.5400","0.5400","0.4700","-0.87%"
"YoY %","0.00%","4.44%","50.00%","-44.44%","0.00%","0.00%","14.89%","-",""
"Horiz. %","100.00%","100.00%","95.74%","63.83%","114.89%","114.89%","114.89%","100.00%",""
"RPS","52.74","83.66","83.13","72.81","117.39","106.45","30.88","24.03","28.16%"
"YoY %","-36.96%","0.64%","14.17%","-37.98%","10.28%","244.72%","28.51%","-",""
"Horiz. %","219.48%","348.15%","345.94%","303.00%","488.51%","442.99%","128.51%","100.00%",""
"EPS","7.24","13.13","14.73","-24.04","1.74","2.29","2.82","11.29","5.46%"
"YoY %","-44.86%","-10.86%","161.27%","-1,481.61%","-24.02%","-18.79%","-75.02%","-",""
"Horiz. %","64.13%","116.30%","130.47%","-212.93%","15.41%","20.28%","24.98%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.4700","0.4700","0.4500","0.3000","0.5400","0.5400","0.4457","0.0939","36.78%"
"YoY %","0.00%","4.44%","50.00%","-44.44%","0.00%","21.16%","374.65%","-",""
"Horiz. %","500.53%","500.53%","479.23%","319.49%","575.08%","575.08%","474.65%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","-","-"
"Price","0.4750","0.4750","0.3900","0.3750","0.6200","1.1100","0.4650","0.0000","-"
"P/RPS","0.90","0.57","0.47","0.52","0.53","1.04","1.24","0.00","-"
"YoY %","57.89%","21.28%","-9.62%","-1.89%","-49.04%","-16.13%","0.00%","-",""
"Horiz. %","72.58%","45.97%","37.90%","41.94%","42.74%","83.87%","100.00%","-",""
"P/EPS","6.55","3.62","2.65","-1.56","35.59","48.49","13.59","0.00","-"
"YoY %","80.94%","36.60%","269.87%","-104.38%","-26.60%","256.81%","0.00%","-",""
"Horiz. %","48.20%","26.64%","19.50%","-11.48%","261.88%","356.81%","100.00%","-",""
"EY","15.26","27.63","37.77","-64.10","2.81","2.06","7.36","0.00","-"
"YoY %","-44.77%","-26.85%","158.92%","-2,381.14%","36.41%","-72.01%","0.00%","-",""
"Horiz. %","207.34%","375.41%","513.18%","-870.92%","38.18%","27.99%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","1.01","1.01","0.87","1.25","1.15","2.06","0.86","0.00","-"
"YoY %","0.00%","16.09%","-30.40%","8.70%","-44.17%","139.53%","0.00%","-",""
"Horiz. %","117.44%","117.44%","101.16%","145.35%","133.72%","239.53%","100.00%","-",""
"Date","AQR","T4Q","28/02/19","28/02/18","28/02/17","29/02/16","27/02/15","-","-"
"Price","0.4500","0.4500","0.4250","0.3500","0.6400","1.0400","0.5750","0.0000","-"
"P/RPS","0.85","0.54","0.51","0.48","0.55","0.98","1.54","0.00","-"
"YoY %","57.41%","5.88%","6.25%","-12.73%","-43.88%","-36.36%","0.00%","-",""
"Horiz. %","55.19%","35.06%","33.12%","31.17%","35.71%","63.64%","100.00%","-",""
"P/EPS","6.21","3.43","2.89","-1.46","36.74","45.43","16.81","0.00","-"
"YoY %","81.05%","18.69%","297.95%","-103.97%","-19.13%","170.26%","0.00%","-",""
"Horiz. %","36.94%","20.40%","17.19%","-8.69%","218.56%","270.26%","100.00%","-",""
"EY","16.10","29.17","34.66","-68.68","2.72","2.20","5.95","0.00","-"
"YoY %","-44.81%","-15.84%","150.47%","-2,625.00%","23.64%","-63.03%","0.00%","-",""
"Horiz. %","270.59%","490.25%","582.52%","-1,154.29%","45.71%","36.97%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","0.96","0.96","0.94","1.17","1.19","1.93","1.06","0.00","-"
"YoY %","0.00%","2.13%","-19.66%","-1.68%","-38.34%","82.08%","0.00%","-",""
"Horiz. %","90.57%","90.57%","88.68%","110.38%","112.26%","182.08%","100.00%","-",""

