Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"YoY %","-102.73%","-14.65%","10,805.29%","80.23%","157.95%","-233.21%","-69.78%","61,333.33%","0.00%","-",""
"Horiz. %","-65,566.67%","2,404,533.50%","2,817,200.00%","25,833.33%","14,333.33%","-24,733.33%","18,566.67%","61,433.34%","100.00%","-",""
"RPS","-","6.90","11.42","17.44","13.21","19.97","26.84","27.85","28.82","-","-"
"YoY %","0.00%","-39.58%","-34.52%","32.02%","-33.85%","-25.60%","-3.63%","-3.37%","0.00%","-",""
"Horiz. %","0.00%","23.94%","39.63%","60.51%","45.84%","69.29%","93.13%","96.63%","100.00%","-",""
"EPS","-1.00","36.07","40.34","4.19","1.63","-1.93","1.56","3.87","0.01","0.00","-"
"YoY %","-102.77%","-10.59%","862.77%","157.06%","184.46%","-223.72%","-59.69%","38,600.00%","0.00%","-",""
"Horiz. %","-10,000.00%","360,700.00%","403,400.00%","41,900.00%","16,300.00%","-19,300.00%","15,600.00%","38,700.00%","100.00%","-",""
"DPS","0.00","0.44","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","100.00%","-","-","-","-","-","-","-",""
"NAPS","0.0500","0.0500","0.0500","0.4200","0.3800","0.2600","0.2800","0.2100","0.1700","0.0500","-"
"YoY %","0.00%","0.00%","-88.10%","10.53%","46.15%","-7.14%","33.33%","23.53%","240.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","840.00%","760.00%","520.00%","560.00%","420.00%","340.00%","100.00%",""
"RPS","-","6.90","11.42","17.42","13.21","19.97","26.84","27.85","28.82","-","-"
"YoY %","0.00%","-39.58%","-34.44%","31.87%","-33.85%","-25.60%","-3.63%","-3.37%","0.00%","-",""
"Horiz. %","0.00%","23.94%","39.63%","60.44%","45.84%","69.29%","93.13%","96.63%","100.00%","-",""
"EPS","-1.00","36.07","40.34","3.25","1.63","-1.93","1.56","3.87","0.01","0.00","-"
"YoY %","-102.77%","-10.59%","1,141.23%","99.39%","184.46%","-223.72%","-59.69%","38,600.00%","0.00%","-",""
"Horiz. %","-10,000.00%","360,700.00%","403,400.00%","32,500.00%","16,300.00%","-19,300.00%","15,600.00%","38,700.00%","100.00%","-",""
"DPS","0.00","0.44","0.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","100.00%","-","-","-","-","-","-","-",""
"NAPS","0.0500","0.0500","0.0500","0.4197","0.3800","0.2600","0.2800","0.2100","0.1700","0.0500","-"
"YoY %","0.00%","0.00%","-88.09%","10.45%","46.15%","-7.14%","33.33%","23.53%","240.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","839.40%","760.00%","520.00%","560.00%","420.00%","340.00%","100.00%",""
"Date","AQR","T4Q","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","-","-"
"Price","0.2900","0.2900","0.4000","0.5050","0.5900","0.7750","0.6200","0.3700","0.6100","0.0000","-"
"P/RPS","0.00","4.20","3.50","2.90","4.46","3.88","2.31","1.33","2.12","0.00","-"
"YoY %","0.00%","20.00%","20.69%","-34.98%","14.95%","67.97%","73.68%","-37.26%","0.00%","-",""
"Horiz. %","0.00%","198.11%","165.09%","136.79%","210.38%","183.02%","108.96%","62.74%","100.00%","-",""
"P/EPS","-29.49","0.80","0.95","15.51","36.11","-40.16","39.79","9.56","13,688.40","0.00","-"
"YoY %","-3,786.25%","-15.79%","-93.87%","-57.05%","189.92%","-200.93%","316.21%","-99.93%","0.00%","-",""
"Horiz. %","-0.22%","0.01%","0.01%","0.11%","0.26%","-0.29%","0.29%","0.07%","100.00%","-",""
"EY","-3.39","124.37","105.64","6.45","2.77","-2.49","2.51","10.46","0.01","0.00","-"
"YoY %","-102.73%","17.73%","1,537.83%","132.85%","211.24%","-199.20%","-76.00%","104,500.00%","0.00%","-",""
"Horiz. %","-33,900.00%","1,243,700.12%","1,056,400.00%","64,500.00%","27,700.00%","-24,900.00%","25,100.00%","104,600.00%","100.00%","-",""
"DY","0.00","1.52","1.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","38.18%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","138.18%","100.00%","-","-","-","-","-","-","-",""
"P/NAPS","5.80","5.80","8.00","1.20","1.55","2.98","2.21","1.76","3.59","0.00","-"
"YoY %","0.00%","-27.50%","566.67%","-22.58%","-47.99%","34.84%","25.57%","-50.97%","0.00%","-",""
"Horiz. %","161.56%","161.56%","222.84%","33.43%","43.18%","83.01%","61.56%","49.03%","100.00%","-",""
"Date","AQR","T4Q","26/02/18","27/02/17","29/02/16","26/02/15","28/02/14","28/02/13","29/02/12","-","-"
"Price","0.2350","0.2350","0.4000","0.6900","0.5300","0.8200","0.7300","0.3150","0.6000","0.0000","-"
"P/RPS","0.00","3.40","3.50","3.96","4.01","4.11","2.72","1.13","2.08","0.00","-"
"YoY %","0.00%","-2.86%","-11.62%","-1.25%","-2.43%","51.10%","140.71%","-45.67%","0.00%","-",""
"Horiz. %","0.00%","163.46%","168.27%","190.38%","192.79%","197.60%","130.77%","54.33%","100.00%","-",""
"P/EPS","-23.90","0.65","0.95","21.19","32.44","-42.50","46.85","8.14","13,464.00","0.00","-"
"YoY %","-3,776.92%","-31.58%","-95.52%","-34.68%","176.33%","-190.72%","475.55%","-99.94%","0.00%","-",""
"Horiz. %","-0.18%","0.00%","0.01%","0.16%","0.24%","-0.32%","0.35%","0.06%","100.00%","-",""
"EY","-4.18","153.48","105.64","4.72","3.08","-2.35","2.13","12.28","0.01","0.00","-"
"YoY %","-102.72%","45.29%","2,138.14%","53.25%","231.06%","-210.33%","-82.65%","122,700.00%","0.00%","-",""
"Horiz. %","-41,800.00%","1,534,800.00%","1,056,400.00%","47,200.00%","30,800.00%","-23,500.00%","21,300.00%","122,800.00%","100.00%","-",""
"DY","0.00","1.87","1.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","70.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","170.00%","100.00%","-","-","-","-","-","-","-",""
"P/NAPS","4.70","4.70","8.00","1.64","1.39","3.15","2.61","1.50","3.53","0.00","-"
"YoY %","0.00%","-41.25%","387.80%","17.99%","-55.87%","20.69%","74.00%","-57.51%","0.00%","-",""
"Horiz. %","133.14%","133.14%","226.63%","46.46%","39.38%","89.24%","73.94%","42.49%","100.00%","-",""

